ID	A1	A2	B1	B2	gene_name
ENSG00000196230	10449	21670	27160	25994	TUBB
ENSG00000111716	13322	21838	26524	22361	LDHB
ENSG00000162244	16693	21761	24965	20450	RPL29
ENSG00000110955	15532	23187	23602	21488	ATP5F1B
ENSG00000108298	17117	20950	24791	19765	RPL19
ENSG00000153187	12863	20691	24623	23740	HNRNPU
ENSG00000108654	27187	20567	17934	16192	DDX5
ENSG00000114867	15117	21853	21826	22698	EIF4G1
ENSG00000245532	32236	19945	12769	14275	NEAT1
ENSG00000142534	16136	20795	22969	18405	RPS11
ENSG00000105372	17583	19167	23734	17746	RPS19
ENSG00000211459	31120	15238	16328	14946	MT-RNR1
ENSG00000164587	15318	18763	22451	17338	RPS14
ENSG00000111669	12929	20570	21760	17659	TPI1
ENSG00000163682	14717	18967	20575	16849	RPL9
ENSG00000167978	19413	17971	13981	19477	SRRM2
ENSG00000163468	13892	18968	19679	17284	CCT3
ENSG00000070756	13482	17136	20150	18376	PABPC1
ENSG00000110321	12300	19644	18056	18545	EIF4G2
ENSG00000115268	13796	18008	20751	15975	RPS15
ENSG00000188290	35294	13875	11412	7838	HES4
ENSG00000115053	10144	18157	20189	19799	NCL
ENSG00000132341	12174	18956	20110	16662	RAN
ENSG00000198786	4335	6168	29646	27481	MT-ND5
ENSG00000109971	12143	12892	21629	20957	HSPA8
ENSG00000083845	15260	16891	19648	15203	RPS5
ENSG00000142864	11301	17428	19584	18180	SERBP1
ENSG00000137154	14377	16530	19985	14387	RPS6
ENSG00000130255	14221	16287	19608	15135	RPL36
ENSG00000143878	39863	10355	7692	6436	RHOB
ENSG00000105640	13829	16374	19143	14848	RPL18A
ENSG00000229117	12962	15691	18701	16829	RPL41
ENSG00000147604	12610	17235	18964	15296	RPL7
ENSG00000144713	13275	16567	19233	14969	RPL32
ENSG00000063177	14152	16701	18245	14921	RPL18
ENSG00000231500	14315	16191	18942	14072	RPS18
ENSG00000166441	12379	16147	18595	15389	RPL27A
ENSG00000152192	20979	16296	12133	12558	POU4F1
ENSG00000169045	17463	15458	14489	14265	HNRNPH1
ENSG00000143947	13082	15841	17413	15135	RPS27A
ENSG00000169710	3824	18162	18031	20951	FASN
ENSG00000138326	13878	14968	17274	14313	RPS24
ENSG00000170889	14468	16238	16802	12841	RPS9
ENSG00000087460	9596	16255	18486	15776	GNAS
ENSG00000171863	11681	14751	18684	14994	RPS7
ENSG00000147140	12579	16730	15153	15581	NONO
ENSG00000135624	11044	16731	16892	14365	CCT7
ENSG00000129351	10022	17020	15512	16412	ILF3
ENSG00000134333	8171	15815	17838	16595	LDHA
ENSG00000009307	7690	15254	17220	17670	CSDE1
ENSG00000187514	8411	14100	18804	16457	PTMA
ENSG00000125691	11803	13611	18041	13212	RPL23
ENSG00000143761	8928	15471	16663	15225	ARF1
ENSG00000071082	11336	14870	16119	13886	RPL31
ENSG00000166598	8965	6433	21657	18607	HSP90B1
ENSG00000138668	12911	13344	15248	13556	HNRNPD
ENSG00000196531	10344	14806	15818	13992	NACA
ENSG00000092199	10012	15182	15230	14536	HNRNPC
ENSG00000099783	9655	12949	17256	14729	HNRNPM
ENSG00000198755	14544	14191	14190	10973	RPL10A
ENSG00000145425	11560	14205	15418	12285	RPS3A
ENSG00000165119	8876	13977	15146	14648	HNRNPK
ENSG00000143799	7626	15129	14709	15108	PARP1
ENSG00000132507	8585	14072	15785	13987	EIF5A
ENSG00000131469	10145	13592	15192	13291	RPL27
ENSG00000119335	8856	14163	15619	13471	SET
ENSG00000116560	10785	12636	14801	13626	SFPQ
ENSG00000089280	11330	14387	13283	12701	FUS
ENSG00000011304	9284	14498	13618	13809	PTBP1
ENSG00000197958	11116	13580	14184	12205	RPL12
ENSG00000142676	9783	12813	15601	12799	RPL11
ENSG00000204469	9922	14597	11800	14480	PRRC2A
ENSG00000120438	9914	13341	14587	12955	TCP1
ENSG00000198830	10648	13255	14257	11847	HMGN2
ENSG00000132475	9930	13086	14262	12427	H3F3B
ENSG00000114391	9555	12740	15246	12049	RPL24
ENSG00000150991	11407	13530	13016	11621	UBC
ENSG00000240342	10377	13375	14363	11169	RPS2P5
ENSG00000069275	7413	12880	15139	13427	NUCKS1
ENSG00000088247	7440	13983	13089	14167	KHSRP
ENSG00000130985	8615	13553	12786	13724	UBA1
ENSG00000166508	10535	13899	11907	12142	MCM7
ENSG00000229807	7092	15027	7452	17955	XIST
ENSG00000152795	13340	11469	11916	10373	HNRNPDL
ENSG00000183779	11632	12597	12145	10593	ZNF703
ENSG00000112306	11197	12423	13267	9858	RPS12
ENSG00000164032	7683	12313	14524	12093	H2AFZ
ENSG00000105193	10795	11581	13571	10415	RPS16
ENSG00000108561	7720	12448	14109	11632	C1QBP
ENSG00000182899	9047	11756	13891	10960	RPL35A
ENSG00000123416	6148	12361	13273	13802	TUBA1B
ENSG00000115484	9013	12124	12742	10381	CCT4
ENSG00000173812	10259	13613	11118	8817	EIF1
ENSG00000145741	8817	11839	12730	10241	BTF3
ENSG00000104904	10456	10711	12336	10116	OAZ1
ENSG00000108848	17444	10053	7947	7730	LUC7L3
ENSG00000106263	9143	11384	12027	10525	EIF3B
ENSG00000170144	8953	10137	12518	11459	HNRNPA3
ENSG00000198918	8823	10808	12600	10820	RPL39
ENSG00000177600	9478	10654	13319	9305	RPLP2
ENSG00000179218	6745	5932	15272	14706	CALR
ENSG00000221978	16725	11169	7246	7311	CCNL2
ENSG00000110958	7149	11741	12466	10580	PTGES3
ENSG00000143321	6414	11160	12562	11516	HDGF
ENSG00000156261	8325	11396	11724	9958	CCT8
ENSG00000127022	5124	4635	14824	16520	CANX
ENSG00000136942	8488	10402	12463	9583	RPL35
ENSG00000112081	8571	10714	11864	9605	SRSF3
ENSG00000177954	8189	10541	11510	10075	RPS27
ENSG00000113013	7081	11621	11247	10268	HSPA9
ENSG00000143621	7821	11222	11130	9921	ILF2
ENSG00000113196	6207	11886	11315	10424	HAND1
ENSG00000196419	6996	11184	11318	10228	XRCC6
ENSG00000169714	8330	11455	10694	9205	CNBP
ENSG00000145592	8384	9998	12091	9064	RPL37
ENSG00000197756	9084	9226	12562	8662	RPL37A
ENSG00000168439	7122	10722	10614	10704	STIP1
ENSG00000174231	6376	11661	8614	12247	PRPF8
ENSG00000090621	9363	9808	10440	9182	PABPC4
ENSG00000187109	8015	10038	11130	9361	NAP1L1
ENSG00000167468	9343	9954	11048	8180	GPX4
ENSG00000173726	7079	10131	11365	9819	TOMM20
ENSG00000146731	7161	10256	10993	9810	CCT6A
ENSG00000108107	9586	9915	10841	7837	RPL28
ENSG00000132780	10893	9464	9093	8589	NASP
ENSG00000163399	5317	4782	13565	14141	ATP1A1
ENSG00000171314	4578	10853	11573	10770	PGAM1
ENSG00000124193	14212	10652	6723	6183	SRSF6
ENSG00000149136	6667	10553	10352	10158	SSRP1
ENSG00000182944	9864	9718	9140	8829	EWSR1
ENSG00000092621	6937	11845	9898	8744	PHGDH
ENSG00000204256	7088	12237	7940	10056	BRD2
ENSG00000128272	10141	11285	8409	7227	ATF4
ENSG00000128050	5755	10384	11182	9727	PAICS
ENSG00000150753	6827	9881	10262	9212	CCT5
ENSG00000116754	11815	9419	7413	7525	SRSF11
ENSG00000205937	8581	9648	9522	8364	RNPS1
ENSG00000166226	6988	9926	10045	8642	CCT2
ENSG00000196305	7865	10869	8203	8649	IARS
ENSG00000122026	7684	9062	11284	7523	RPL21
ENSG00000108424	5188	10095	9688	10580	KPNB1
ENSG00000152234	7502	9572	9944	8465	ATP5F1A
ENSG00000221983	7461	9458	10238	8308	UBA52
ENSG00000100201	10240	9738	7468	8018	DDX17
ENSG00000117450	4151	9562	11936	9724	PRDX1
ENSG00000146701	7211	9427	10305	8394	MDH2
ENSG00000102144	5646	9952	10658	9061	PGK1
ENSG00000106682	5078	9842	9496	10856	EIF4H
ENSG00000253729	7049	9816	8583	9796	PRKDC
ENSG00000131051	13353	9203	6441	6203	RBM39
ENSG00000065150	6572	9951	9266	9213	IPO5
ENSG00000108518	6775	9311	10361	8522	PFN1
ENSG00000172757	6715	9225	10025	8963	CFL1
ENSG00000188846	7207	9347	10199	8126	RPL14
ENSG00000110700	7215	9188	10336	7861	RPS13
ENSG00000131473	4463	9603	9247	10848	ACLY
ENSG00000104852	9717	7801	9075	7529	SNRNP70
ENSG00000136450	8697	8806	8698	7831	SRSF1
ENSG00000005022	6798	9575	9481	8037	SLC25A5
ENSG00000075415	6748	9552	9214	8102	SLC25A3
ENSG00000179010	5171	8658	10552	9008	MRFAP1
ENSG00000105568	5871	9361	9314	8726	PPP2R1A
ENSG00000161203	6292	8852	9369	8494	AP2M1
ENSG00000182481	5300	7828	10430	9262	KPNA2
ENSG00000141367	5038	8709	9557	9342	CLTC
ENSG00000147274	6217	8508	9524	8359	RBMX
ENSG00000165732	5502	9307	8320	9340	DDX21
ENSG00000167986	5373	9491	8173	9388	DDB1
ENSG00000166197	5311	9684	8403	8978	NOLC1
ENSG00000104267	4198	8768	10308	8942	CA2
ENSG00000167615	12027	8554	5318	6254	LENG8
ENSG00000189091	6653	8812	7905	8719	SF3B3
ENSG00000205581	7828	8313	8652	7181	HMGN1
ENSG00000086758	5942	9109	7258	9597	HUWE1
ENSG00000172809	6414	7962	10237	7159	RPL38
ENSG00000008988	6760	8441	9053	7470	RPS20
ENSG00000158710	4827	8493	9489	8856	TAGLN2
ENSG00000135829	6499	8324	8314	8466	DHX9
ENSG00000106153	6222	8161	9553	7481	CHCHD2
ENSG00000004478	5195	8146	9261	8778	FKBP4
ENSG00000198242	5894	7566	9767	8056	RPL23A
ENSG00000178952	7263	8276	8408	7313	TUFM
ENSG00000168906	8095	8827	6747	7584	MAT2A
ENSG00000060138	6413	8299	9052	7453	YBX3
ENSG00000178035	7742	8779	7832	6766	IMPDH2
ENSG00000164924	4368	8020	9903	8827	YWHAZ
ENSG00000065526	7446	8688	5993	8990	SPEN
ENSG00000144028	5509	9047	7000	9377	SNRNP200
ENSG00000139644	5155	5246	10406	9936	TMBIM6
ENSG00000107581	5327	8356	8113	8718	EIF3A
ENSG00000067560	5106	8095	8906	8394	RHOA
ENSG00000126457	6490	8670	8051	7278	PRMT1
ENSG00000115875	8828	8133	7064	6447	SRSF7
ENSG00000109606	8099	7831	7334	7151	DHX15
ENSG00000073111	5987	9244	7450	7678	MCM2
ENSG00000198952	6369	8817	7381	7687	SMG5
ENSG00000161547	8319	7330	7948	6619	SRSF2
ENSG00000087086	5980	7475	9159	7256	FTL
ENSG00000156976	8255	8400	7037	6103	EIF4A2
ENSG00000196591	5372	8011	8696	7588	HDAC2
ENSG00000063244	6238	8072	7866	7453	U2AF2
ENSG00000105220	4768	8273	8445	7951	GPI
ENSG00000154277	6255	7726	8325	6920	UCHL1
ENSG00000142168	5023	7692	8959	7495	SOD1
ENSG00000175166	5950	8280	7543	7336	PSMD2
ENSG00000134308	4435	7977	8761	7768	YWHAQ
ENSG00000112118	6757	8051	6965	7092	MCM3
ENSG00000188229	3727	7152	9636	8204	TUBB4B
ENSG00000136271	7067	7984	7045	6523	DDX56
ENSG00000063046	4993	8204	7750	7650	EIF4B
ENSG00000143549	5432	7686	7926	7486	TPM3
ENSG00000087365	5811	8421	7109	7168	SF3B2
ENSG00000215021	5352	7755	8411	6949	PHB2
ENSG00000044574	3052	2153	12209	10974	HSPA5
ENSG00000170315	4723	8137	8145	7201	UBB
ENSG00000171793	6156	7985	7305	6641	CTPS1
ENSG00000188976	5601	8124	7171	7167	NOC2L
ENSG00000212907	4722	4484	8352	10459	MT-ND4L
ENSG00000215301	5181	6936	7744	8116	DDX3X
ENSG00000168036	5216	7358	7993	7381	CTNNB1
ENSG00000115524	7081	7145	6676	7034	SF3B1
ENSG00000124207	4930	7506	7876	7580	CSE1L
ENSG00000143742	5426	7889	8001	6575	SRP9
ENSG00000159140	6660	7409	6515	7280	SON
ENSG00000159377	6563	7275	7621	6362	PSMB4
ENSG00000004455	5370	7932	7469	6816	AK2
ENSG00000179051	3430	7141	8632	8383	RCC2
ENSG00000116251	5333	7543	7611	7018	RPL22
ENSG00000185950	9890	6744	5303	5460	IRS2
ENSG00000197728	5578	6762	8192	6740	RPS26
ENSG00000130816	6186	7807	6068	7204	DNMT1
ENSG00000084234	4842	2645	9523	10249	APLP2
ENSG00000198176	4085	7307	8287	7435	TFDP1
ENSG00000182199	5512	9081	6444	5988	SHMT2
ENSG00000100650	10470	6891	4954	4639	SRSF5
ENSG00000101057	5283	7483	7201	6938	MYBL2
ENSG00000134684	5664	8699	6494	5929	YARS
ENSG00000135821	3372	7181	8040	8167	GLUL
ENSG00000173660	5016	7038	8251	6205	UQCRH
ENSG00000101361	6055	7707	6411	6215	NOP56
ENSG00000147162	7737	8752	4464	5426	OGT
ENSG00000072501	4899	7201	6419	7858	SMC1A
ENSG00000117592	5083	7021	7731	6502	PRDX6
ENSG00000165280	4904	6804	7418	7189	VCP
ENSG00000136938	4922	7094	7966	6313	ANP32B
ENSG00000140391	4840	4395	8879	8157	TSPAN3
ENSG00000114942	5110	7073	7715	6268	EEF1B2
ENSG00000181222	4299	7224	6143	8490	POLR2A
ENSG00000172270	4941	4507	8701	8005	BSG
ENSG00000172201	9356	7002	5375	4239	ID4
ENSG00000106628	6214	7489	6620	5615	POLD2
ENSG00000082898	6499	6408	6757	6187	XPO1
ENSG00000104738	4651	7302	6918	6939	MCM4
ENSG00000123562	5362	7073	6894	6428	MORF4L2
ENSG00000079246	4485	6814	7443	6940	XRCC5
ENSG00000121774	4705	6923	7505	6439	KHDRBS1
ENSG00000089597	3674	3819	8334	9582	GANAB
ENSG00000136527	5149	7682	6649	5874	TRA2B
ENSG00000084623	5334	7043	7494	5456	EIF3I
ENSG00000029363	5004	7316	6438	6505	BCLAF1
ENSG00000163041	4197	6449	7990	6596	H3F3A
ENSG00000171858	4953	6338	7142	6783	RPS21
ENSG00000234741	10713	6381	4441	3615	GAS5
ENSG00000197451	3696	6477	7897	7068	HNRNPAB
ENSG00000159131	5854	6954	6470	5757	GART
ENSG00000189403	3858	6661	7928	6586	HMGB1
ENSG00000115677	4098	7017	6561	7343	HDLBP
ENSG00000101182	4561	6244	7776	6400	PSMA7
ENSG00000198931	5569	6695	7020	5624	APRT
ENSG00000157933	4908	6738	6401	6854	SKI
ENSG00000115758	4933	7129	7196	5642	ODC1
ENSG00000108106	5406	6538	7372	5564	UBE2S
ENSG00000168066	5439	6327	6496	6560	SF1
ENSG00000172534	2789	6962	6762	8293	HCFC1
ENSG00000188612	3798	6650	7914	6398	SUMO2
ENSG00000163938	6417	6439	6310	5549	GNL3
ENSG00000233276	5558	6649	7122	5337	GPX1
ENSG00000101444	4094	6980	6547	6611	AHCY
ENSG00000197746	4451	3211	8658	7764	PSAP
ENSG00000102054	6034	6082	6305	5531	RBBP7
ENSG00000058262	3990	4429	7674	7771	SEC61A1
ENSG00000099194	3153	3375	8000	9272	SCD
ENSG00000177733	4072	6056	7355	6298	HNRNPA0
ENSG00000196924	3257	6041	6085	8352	FLNA
ENSG00000141551	6326	6198	5327	5876	CSNK1D
ENSG00000104408	4357	6683	6830	5845	EIF3E
ENSG00000184216	3467	6597	6781	6854	IRAK1
ENSG00000132153	5086	6689	5973	5933	DHX30
ENSG00000105401	5989	6049	6068	5572	CDC37
ENSG00000084774	5424	7014	4996	6225	CAD
ENSG00000117318	7893	5757	5605	4374	ID3
ENSG00000184897	14034	3151	3674	2737	H1FX
ENSG00000185624	3446	4451	7533	8123	P4HB
ENSG00000145147	5941	4085	6366	7136	SLIT2
ENSG00000177084	5524	6843	4995	6109	POLE
ENSG00000100664	5129	7046	6014	5277	EIF5
ENSG00000170515	4004	6159	6909	6368	PA2G4
ENSG00000133112	4142	6344	6818	6128	TPT1
ENSG00000166986	5978	7545	4862	5040	MARS
ENSG00000175130	3670	5840	7852	6040	MARCKSL1
ENSG00000155506	3218	7058	6114	7007	LARP1
ENSG00000163714	6434	6057	5569	5251	U2SURP
ENSG00000172115	4312	6318	6981	5647	CYCS
ENSG00000089154	4055	6765	5371	7055	GCN1
ENSG00000170606	4132	5548	7101	6461	HSPA4
ENSG00000084090	4470	6610	6228	5900	STARD7
ENSG00000169813	4012	6195	6559	6408	HNRNPF
ENSG00000125944	4215	6054	6430	6439	HNRNPR
ENSG00000196642	5818	6024	5818	5451	RABL6
ENSG00000163931	4333	6518	6169	6053	TKT
ENSG00000197785	5553	5959	6265	5294	ATAD3A
ENSG00000105202	4733	6118	6961	5242	FBL
ENSG00000167747	5858	8095	4821	4207	C19orf48
ENSG00000204463	4029	6380	6023	6514	BAG6
ENSG00000149806	4367	5677	7149	5599	FAU
ENSG00000138095	4779	6537	5965	5504	LRPPRC
ENSG00000112787	4356	5752	6616	6056	FBRSL1
ENSG00000145907	3625	6288	6393	6345	G3BP1
ENSG00000041357	4163	6053	6819	5536	PSMA4
ENSG00000136997	6872	6318	4683	4633	MYC
ENSG00000142230	4349	6532	6016	5589	SAE1
ENSG00000135387	3611	5581	6405	6797	CAPRIN1
ENSG00000167792	7153	5865	5138	4227	NDUFV1
ENSG00000118181	5401	5187	6622	5051	RPS25
ENSG00000168003	8132	4994	4852	4234	SLC3A2
ENSG00000197102	3678	6224	5275	7032	DYNC1H1
ENSG00000198563	9050	6346	3090	3710	DDX39B
ENSG00000010256	4605	6346	6140	5089	UQCRC1
ENSG00000100401	5171	5515	5867	5388	RANGAP1
ENSG00000213585	3459	5790	6557	6086	VDAC1
ENSG00000179222	3987	5928	6388	5581	MAGED1
ENSG00000185787	3294	5884	6705	5867	MORF4L1
ENSG00000087087	4997	5701	5282	5685	SRRT
ENSG00000168385	4196	5873	5848	5715	SEPT2
ENSG00000130175	4727	3469	7072	6350	PRKCSH
ENSG00000070814	3761	6165	5513	6168	TCOF1
ENSG00000125266	5813	5598	4923	5179	EFNB2
ENSG00000117523	5245	5691	4553	5985	PRRC2C
ENSG00000143384	6607	5476	4762	4624	MCL1
ENSG00000078369	3272	5897	6396	5862	GNB1
ENSG00000105281	2827	3836	7398	7345	SLC1A5
ENSG00000100813	5395	5698	5009	5300	ACIN1
ENSG00000204394	4139	6362	5533	5359	VARS
ENSG00000115241	4116	5403	6201	5668	PPM1G
ENSG00000149923	4725	5667	5929	5050	PPP4C
ENSG00000162521	4050	5715	6072	5512	RBBP4
ENSG00000131747	3192	5523	6178	6440	TOP2A
ENSG00000160075	5344	5393	5813	4777	SSU72
ENSG00000205339	3819	6071	5460	5962	IPO7
ENSG00000166913	3411	5767	6670	5436	YWHAB
ENSG00000164880	4041	5488	5760	5950	INTS1
ENSG00000126067	3802	5631	6311	5492	PSMB2
ENSG00000227097	4585	5460	6327	4860	RPS28P7
ENSG00000100941	6656	5081	4747	4724	PNN
ENSG00000116459	4215	5846	6226	4909	ATP5PB
ENSG00000130826	4315	5891	5623	5363	DKC1
ENSG00000090273	4548	5460	6057	5122	NUDC
ENSG00000136270	4940	5910	5343	4950	TBRG4
ENSG00000109475	4290	5437	6257	5136	RPL34
ENSG00000125835	4699	5591	5977	4806	SNRPB
ENSG00000160014	2929	5407	6277	6432	CALM3
ENSG00000127616	3926	5718	5756	5631	SMARCA4
ENSG00000160710	3932	5764	5210	6116	ADAR
ENSG00000095319	4040	5973	4985	5958	NUP188
ENSG00000189241	4352	5479	6081	4973	TSPYL1
ENSG00000154518	3832	5312	6508	5170	ATP5MC3
ENSG00000010244	5895	5436	4772	4712	ZNF207
ENSG00000062485	3889	5809	5423	5676	CS
ENSG00000179918	3604	5611	6211	5351	SEPHS2
ENSG00000165655	4997	6345	5094	4331	ZNF503
ENSG00000108829	3365	5686	6178	5520	LRRC59
ENSG00000132485	6889	5325	4448	4064	ZRANB2
ENSG00000116478	4166	5573	5335	5598	HDAC1
ENSG00000277443	1728	4619	7951	6357	MARCKS
ENSG00000108883	4282	5925	5112	5282	EFTUD2
ENSG00000164683	5937	5409	4953	4200	HEY1
ENSG00000165672	3537	5517	6065	5318	PRDX3
ENSG00000167815	3867	5688	5663	5038	PRDX2
ENSG00000168488	5052	6255	3727	5165	ATXN2L
ENSG00000132382	3478	5879	4918	5920	MYBBP1A
ENSG00000136810	3571	5071	6692	4800	TXN
ENSG00000103342	3775	5313	5743	5296	GSPT1
ENSG00000085733	4708	5331	4932	5153	CTTN
ENSG00000105323	2796	5549	5358	6406	HNRNPUL1
ENSG00000176619	3259	5320	5529	5955	LMNB2
ENSG00000110107	3647	5788	5521	5083	PRPF19
ENSG00000103257	2289	5232	5904	6589	SLC7A5
ENSG00000124795	3848	5378	5616	5152	DEK
ENSG00000130811	5583	5276	4845	4250	EIF3G
ENSG00000183207	4184	5567	5393	4781	RUVBL2
ENSG00000008018	4363	5337	5767	4429	PSMB1
ENSG00000131143	4550	4739	6058	4481	COX4I1
ENSG00000255717	9626	4913	2754	2495	SNHG1
ENSG00000160072	6886	4892	4441	3565	ATAD3B
ENSG00000123136	5656	4888	5127	4112	DDX39A
ENSG00000183431	3704	5576	5499	4844	SF3A3
ENSG00000169718	5514	5137	4875	4082	DUS1L
ENSG00000182979	5824	5201	4344	4207	MTA1
ENSG00000116649	3393	5358	6299	4464	SRM
ENSG00000089053	5109	5159	4680	4525	ANAPC5
ENSG00000102317	6150	5134	4595	3579	RBM3
ENSG00000180198	3222	5499	5295	5392	RCC1
ENSG00000184575	3943	6278	4619	4546	XPOT
ENSG00000186298	3935	5242	5571	4620	PPP1CC
ENSG00000007392	8341	4317	3698	3000	LUC7L
ENSG00000126261	3778	5472	5196	4905	UBA2
ENSG00000089685	3360	5286	5677	5020	BIRC5
ENSG00000140983	5218	5140	4796	4121	RHOT2
ENSG00000108179	2718	5310	6150	5058	PPIF
ENSG00000071626	4985	5061	4957	4198	DAZAP1
ENSG00000122565	3820	5397	5371	4603	CBX3
ENSG00000065911	3030	7056	4815	4287	MTHFD2
ENSG00000154473	3915	5029	5528	4687	BUB3
ENSG00000143933	3041	4848	6089	5094	CALM2
ENSG00000116221	3668	5375	5351	4592	MRPL37
ENSG00000197111	5540	4889	4716	3823	PCBP2
ENSG00000188529	4188	5745	4784	4180	SRSF10
ENSG00000239306	7137	4366	3798	3538	RBM14
ENSG00000031698	5005	5954	4004	3869	SARS
ENSG00000092201	3093	5413	4960	5329	SUPT16H
ENSG00000159352	4434	5002	5181	4143	PSMD4
ENSG00000120705	3739	4949	5405	4654	ETF1
ENSG00000134884	7304	4675	3426	3316	ARGLU1
ENSG00000143569	2800	4529	5018	6367	UBAP2L
ENSG00000135316	3048	5013	5475	5157	SYNCRIP
ENSG00000113407	3734	5739	4799	4411	TARS
ENSG00000103335	4232	3936	4819	5678	PIEZO1
ENSG00000177283	5365	2916	5404	4951	FZD8
ENSG00000104824	3350	5441	4711	5126	HNRNPL
ENSG00000130741	4499	5074	4767	4249	EIF2S3
ENSG00000163902	3090	2757	6571	6109	RPN1
ENSG00000065000	3802	5201	4650	4869	AP3D1
ENSG00000137309	2769	4810	5598	5341	HMGA1
ENSG00000089220	2908	4957	5479	5156	PEBP1
ENSG00000119707	6712	4285	3708	3756	RBM25
ENSG00000174437	2657	2425	6309	7062	ATP2A2
ENSG00000099901	3795	4854	5679	4074	RANBP1
ENSG00000105063	2985	5375	4720	5319	PPP6R1
ENSG00000138071	2540	4927	5552	5355	ACTR2
ENSG00000167004	2871	2300	6957	6211	PDIA3
ENSG00000105655	5205	4441	4582	4105	ISYNA1
ENSG00000091527	3220	5032	5213	4785	CDV3
ENSG00000077235	3975	4683	4547	5014	GTF3C1
ENSG00000167085	3508	5059	5140	4471	PHB
ENSG00000074071	3903	4687	5444	4131	MRPS34
ENSG00000118705	3022	2427	6176	6536	RPN2
ENSG00000175216	3168	5248	4483	5255	CKAP5
ENSG00000006125	2909	5168	4775	5302	AP2B1
ENSG00000121579	2839	4828	5553	4906	NAA50
ENSG00000155380	1699	1742	7480	7130	SLC16A1
ENSG00000096746	3372	4318	5381	4972	HNRNPH3
ENSG00000099622	8412	4402	2689	2478	CIRBP
ENSG00000116350	4840	4847	4274	4010	SRSF4
ENSG00000084652	4399	5400	3882	4272	TXLNA
ENSG00000116161	3239	4693	5426	4568	CACYBP
ENSG00000183684	3641	4495	5582	4179	ALYREF
ENSG00000168653	3244	4675	5574	4388	NDUFS5
ENSG00000134440	3446	5646	4532	4257	NARS
ENSG00000117632	2969	4716	5672	4480	STMN1
ENSG00000165802	4128	4531	4615	4532	NSMF
ENSG00000108344	3497	4936	4697	4671	PSMD3
ENSG00000175792	3599	5267	4658	4275	RUVBL1
ENSG00000180817	3702	4978	5079	4025	PPA1
ENSG00000136628	3364	5466	4397	4540	EPRS
ENSG00000141456	4374	4864	4238	4281	PELP1
ENSG00000160208	3219	4635	4734	5110	RRP1B
ENSG00000049656	3434	3914	5527	4816	CLPTM1L
ENSG00000197157	3312	4903	4831	4638	SND1
ENSG00000084207	3479	4532	5404	4249	GSTP1
ENSG00000013306	3871	4968	4625	4177	SLC25A39
